time,arch,load_p_mw,load_pf,load_q_mvar,bess_p_mw,bess_q_mvar,vm_pu_dc,vm_pu_grid,trafo_loading_pct,grid_p_mw,grid_q_mvar,dispatch_decision,load_ramp_mw_per_h
2026-01-01 00:00:00,"AC racks (lower PF, higher Q volatility)",53.03482893704281,0.96,15.46849177330416,1.5174144685214053,0.0,1.0073728423732913,1.02,35.692184394867134,51.666292132974625,17.684505617826975,dispatched_ok,0.0
2026-01-01 01:00:00,"AC racks (lower PF, higher Q volatility)",51.68321462225875,0.96,15.074270931492142,0.8416073111293763,0.0,1.0076821023410123,1.02,35.17782904197246,50.98860029141147,17.23307190554759,dispatched_ok,-1.351614314784058
2026-01-01 02:00:00,"AC racks (lower PF, higher Q volatility)",53.444904323810675,0.96,15.588097094444787,1.7224521619053377,0.0,1.0072789321909585,1.02,35.84838338714022,51.87190766462662,17.821650181950815,dispatched_ok,1.7616897015519228
2026-01-01 03:00:00,"AC racks (lower PF, higher Q volatility)",48.267243327726604,0.9514617762574563,15.612883324022608,-0.8663783361366981,0.0,1.0073842378538704,1.02,34.21450621015954,49.2770834384926,17.666423389224274,dispatched_ok,-5.177660996084072
2026-01-01 04:00:00,"AC racks (lower PF, higher Q volatility)",46.08372728287883,0.9516509304463839,14.875276708784293,-1.9581363585605835,0.0,1.0079531055605913,1.02,33.35935020776334,48.18234464988861,16.83815435153248,dispatched_ok,-2.183516044847771
2026-01-01 05:00:00,"AC racks (lower PF, higher Q volatility)",47.301994853686665,0.9517232840120314,15.256212998983306,-1.3490025731566675,0.0,1.0076573605948689,1.02,33.82927950307712,48.79310839887698,17.268633584730487,dispatched_ok,1.218267570807832
2026-01-01 06:00:00,"AC racks (lower PF, higher Q volatility)",49.341156035606346,0.9585665904034818,14.663293923496635,-0.32942198219682695,0.0,1.0080260348339884,1.02,34.345931394334045,49.81456800368407,16.731261791479103,dispatched_ok,2.039161181919681
2026-01-01 07:00:00,"AC racks (lower PF, higher Q volatility)",49.7090568150439,0.9483743399344615,16.623586876512956,-0.14547159247804942,0.0,1.0066394813003328,1.02,34.902608454619596,50.000419533885236,18.751636710860225,dispatched_ok,0.36790077943755506
2026-01-01 08:00:00,"AC racks (lower PF, higher Q volatility)",50.76100007040361,0.9479510290837138,17.05058791687577,0.38050003520180553,0.0,1.006313924890089,1.02,35.334780633024124,50.52795470615354,19.226253291826097,dispatched_ok,1.05194325535971
2026-01-01 09:00:00,"AC racks (lower PF, higher Q volatility)",50.71519958663231,0.9467449090870085,17.24805981148578,0.35759979331615455,0.0,1.006175904546558,1.02,35.36783324035007,50.505165055779216,19.427346389769188,dispatched_ok,-0.04580048377130197
2026-01-01 10:00:00,"AC racks (lower PF, higher Q volatility)",52.93036648043344,0.9524639176903019,16.930101831580714,1.4651832402167209,0.0,1.006347000172353,1.02,35.98903233565679,51.615087775381774,19.179177582276804,dispatched_ok,2.2151668938011326
2026-01-01 11:00:00,"AC racks (lower PF, higher Q volatility)",53.31364479194795,0.9545158891708835,16.653467320393457,1.6568223959739754,0.0,1.0065325907443314,1.02,36.045692102313694,51.80695704317605,18.90903634321868,dispatched_ok,0.3832783115145091
2026-01-01 12:00:00,"AC racks (lower PF, higher Q volatility)",52.95852572062353,0.9495442101693805,17.492131965428502,1.4792628603117635,0.0,1.0059503283026912,1.02,36.131256122751196,51.6296709245069,19.757184683238524,dispatched_ok,-0.3551190713244239
2026-01-01 13:00:00,"AC racks (lower PF, higher Q volatility)",54.03706191041059,0.9466393740921498,18.397566126007167,2.0185309552052964,0.0,1.0052856933770398,1.02,36.69107969767709,52.1710193517873,20.72648118577056,dispatched_ok,1.0785361897870658
2026-01-01 14:00:00,"AC racks (lower PF, higher Q volatility)",53.32788607373909,0.946702075137235,18.144538873001814,1.6639430368695436,0.0,1.0054813669530984,1.02,36.40620578992072,51.81535637900143,20.440777206293944,dispatched_ok,-0.7091758366715055
2026-01-01 15:00:00,"AC racks (lower PF, higher Q volatility)",51.807527145500735,0.9526023711512988,16.54498657668402,0.9037635727503677,0.0,1.006645020625654,1.02,35.54532262361557,51.05202948677901,18.744255536590572,dispatched_ok,-1.5203589282383518
2026-01-01 16:00:00,"AC racks (lower PF, higher Q volatility)",52.460571064915534,0.9529730166848137,16.68299776947749,1.230285532457767,0.0,1.0065322632526612,1.02,35.78330402388179,51.37943182213907,18.908921906384272,dispatched_ok,0.6530439194147988
2026-01-01 17:00:00,"AC racks (lower PF, higher Q volatility)",50.61782800723732,0.9521726170732208,16.24371028693636,0.3089140036186606,0.0,1.0068853139103662,1.02,35.100466692548096,50.45555274467521,18.393642893029003,dispatched_ok,-1.842743057678213
2026-01-01 18:00:00,"AC racks (lower PF, higher Q volatility)",57.67780626874716,0.96,16.82269349505126,3.838903134373581,0.0,1.006307336490842,1.02,37.46454118375945,53.994487785068834,19.242230675938686,dispatched_ok,7.0599782615098405
2026-01-01 19:00:00,"AC racks (lower PF, higher Q volatility)",55.95406816189266,0.96,16.3199365472187,2.9770340809463285,0.0,1.0067034851643992,1.02,36.80557220096636,53.13008653166978,18.662647980999342,dispatched_ok,-1.7237381068545048
2026-01-01 20:00:00,"AC racks (lower PF, higher Q volatility)",54.960294633993904,0.96,16.030085934914897,2.480147316996952,0.0,1.0069315663355904,1.02,36.42617697548564,52.63176255851564,18.32918583275785,dispatched_ok,-0.9937735278987532
2026-01-01 21:00:00,"AC racks (lower PF, higher Q volatility)",53.69354481914838,0.96,15.660617238918284,1.8467724095741893,0.0,1.007221973199768,1.02,35.94312390895355,51.99657964093848,17.90484595875408,dispatched_ok,-1.2667498148455252
2026-01-01 22:00:00,"AC racks (lower PF, higher Q volatility)",54.748859246793316,0.96,15.968417280314725,2.374429623396658,0.0,1.0069800639621371,1.02,36.345506098274555,52.52574121927051,18.258302475349147,dispatched_ok,1.0553144276449373
2026-01-01 23:00:00,"AC racks (lower PF, higher Q volatility)",52.947987519780995,0.96,15.443163026602797,1.4739937598904973,0.0,1.007392724791183,1.02,35.65911484673664,51.62274941636856,17.655473417236625,dispatched_ok,-1.8008717270123213
